song_id,name,artist_name,album,duration_ms,track_number,artist_follower,album_popularity,artist_popularity,release_date,crawl_date,song_popularity,genres
3tcnCNTTjqHhYJwnarAi8J,Sunset Kiss (Pool Party Ver.) (Inst.),MONE,The Escape of the Seven OST Special Track,194226,4,278,28,16,21/10/2023,2/4/2024,5,"['k-pop', 'korean pop']"
1g0WFid0GCww3TFA39flaV,Disappear (Inst.),Richard Parkers,The Escape of the Seven OST Part.2,222621,2,1257,12,12,14/10/2023,2/4/2024,9,['korean ost']
0UfVAMsF6C5d50QDInN7kY,EXIT (inst.),Solar,The Escape of the Seven OST Part.1,203461,2,989046,28,45,23/9/2023,2/4/2024,10,['k-pop']
0PcrcVmCHTe3vdkke3HyGC,Curated by Lee Yubi,The Escape of the Seven,The Escape of the Seven audio liner,20500,1,4,0,0,6/10/2023,2/4/2024,0,"['k-pop', 'korean pop']"
4FQQun1A4LoltKWawFzmht,Prelude To The Glory,Jung Se Rin,"The Glory, Pt. 2 (Original Soundtrack from the Netflix Series)",274213,1,473,39,25,10/3/2023,2/4/2024,25,"['k-pop', 'korean pop']"
56s9zc3mWOFpU8zj882CWD,You & Me,wYte,Twinkling Watermelon (Original Television Soundtrack) Pt. 10,190403,1,475,33,23,14/11/2023,2/4/2024,38,"['k-pop', 'korean pop']"
5IRFZZ9cUCdtV7YMSxPhRp,Wherever,Eight'O,Twinkling Watermelon (Original Television Soundtrack) Pt. 9,249145,1,292,31,21,7/11/2023,2/4/2024,37,"['k-pop', 'korean pop']"
428XOGB2hGO7eBdWZG5c8x,My Song,5moon,Twinkling Watermelon (Original Television Soundtrack) Pt. 8,246871,1,690,37,26,31/10/2023,2/4/2024,43,"['k-pop', 'korean pop']"
0grAbqXDOJDerhzeYB4wy3,You’re Precious,Standing Egg,Twinkling Watermelon (Original Television Soundtrack) Pt. 7,197538,1,184126,40,44,24/10/2023,2/4/2024,46,"['k-indie', 'korean pop']"
3D51P7X8MO6G6YaynJsprB,Loveless Night,KWON SOON IL,Twinkling Watermelon (Original Television Soundtrack) Pt. 6,257986,1,3624,34,26,17/10/2023,2/4/2024,39,['korean bl ost']
5LetmN5BQqMazBjdgDrhcf,About loneliness,Aalia,Twinkling Watermelon (Original Television Soundtrack) Pt. 5,233317,1,8714,36,34,10/10/2023,2/4/2024,42,"['k-pop', 'korean pop']"
2rZ9DFCQ1BvqGhEpwZY4xU,A Song For You,JOONIL JUNG,TwinkIing Watermelon (Original Television Soundtrack) Pt. 1,234552,1,57091,42,40,26/9/2023,2/4/2024,48,"['korean ost', 'korean pop']"
3AO9Av55YyTGwCQM4ckIfm,HIGHER,JU-NE,Twinkling Watermelon (Original Television Soundtrack) Pt. 2,224213,1,6979,43,34,27/9/2023,2/4/2024,49,"['k-pop', 'korean pop']"
3paqBku7R2cpFcFgEWPjjV,SHINING,김한겸,Twinkling Watermelon (Original Television Soundtrack) Pt. 3,210919,1,3234,48,37,2/10/2023,2/4/2024,54,"['k-pop', 'korean pop']"
6qsC0eTGIDIjPduhKTtCM4,Tomorrow,RP,Twinkling Watermelon (Original Television Soundtrack) Pt. 4,274148,1,72287,38,30,3/10/2023,2/4/2024,44,['k-rock']
3Bjb398kFNsNP0fwegVx1X,Kisss,SAAY,"Not Others, Pt. 1 (Original Soundtrack)",229120,1,153975,11,42,18/7/2023,2/4/2024,16,['korean r&b']
1kA5iI1SNM7xVM8EMY7mrr,Want to be Free,Sojung,"Not Others, Pt. 2 (Original Soundtrack)",163626,1,11257,16,28,25/7/2023,2/4/2024,21,"['k-pop ballad', 'korean pop']"
3XkygPbUCWxhqLaS5U3KyN,Like a Dream,Choi Yu Ree,"Not Others, Pt. 3 (Original Soundtrack)",184493,1,41590,21,46,1/8/2023,2/4/2024,27,['korean singer-songwriter']
7uKQZH0nlYpCiueooLwGSd,Somebody Like,YOO YEONJUNG,"Not Others, Pt. 4 (Original Soundtrack)",199760,1,2457,15,22,8/8/2023,2/4/2024,20,"['k-pop', 'korean pop']"
2kL5OJKk7rQUnVaOAuQH1u,Calling for Spring,Fromm,"Not Others, Pt. 5 (Original Soundtrack)",254586,1,48962,13,32,15/8/2023,2/4/2024,18,"['k-indie', 'korean ost']"
4EqZlbw5gy1MqN4CRYm77j,Alive,Rothy,"Not Others, Pt. 6 (Original Soundtrack)",203266,1,201764,23,41,16/8/2023,2/4/2024,29,['korean pop']
4U0REq6Tm5iRejOdTfvTH8,My Dream,Sogaksogak,"Not Others, Pt. 7 (Original Soundtrack)",219586,1,9057,10,26,22/8/2023,2/4/2024,15,['k-pop ballad']
1tixN00iTjvvca2apcgqUQ,Kisss - Instrumental,SAAY,"Not Others, Pt. 1 (Original Soundtrack)",227413,2,153975,11,42,18/7/2023,2/4/2024,2,['korean r&b']
38jCQVvNYntZq9FneVG4Zy,Want to be Free - Instrumental,Sojung,"Not Others, Pt. 2 (Original Soundtrack)",163640,2,11257,16,28,25/7/2023,2/4/2024,3,"['k-pop ballad', 'korean pop']"
0SpvJAaVaSrrta6Jap7AV0,Like a Dream - Instrumental,Choi Yu Ree,"Not Others, Pt. 3 (Original Soundtrack)",184493,2,41590,21,46,1/8/2023,2/4/2024,7,['korean singer-songwriter']
5juCu4WFTFRZ2XilopAMTy,Bam Yang Gang,BIBI,Bam Yang Gang,146197,1,1367281,73,68,13/2/2024,2/4/2024,76,"['k-pop', 'korean r&b']"
2KNEK9rGKQKKNE6FTt8PvQ,Let's Say Goodbye,Parc Jae Jung,Alone,243853,1,46996,45,39,20/4/2023,2/4/2024,50,"['korean ost', 'korean pop']"
3HIDWyZGwSe5MhrSP890nc,Rhapsody of Sadness,Lim Jae Hyun,Rhapsody of Sadness,235120,1,46512,47,41,3/12/2023,2/4/2024,53,"['k-pop ballad', 'korean pop']"
3TQHPUEVdvdq8ejwEcHUlL,If I have you only (My love X Nerd Connection),Nerd Connection,If I have you only (My love X Nerd Connection),250573,1,71269,47,45,15/8/2023,2/4/2024,53,['korean indie rock']
3FR2yqZsG07NhXz7uPyUyC,You Were Beautiful,DAY6,SUNRISE,283160,13,3193514,64,66,7/6/2017,2/4/2024,66,"['k-pop', 'k-pop boy group']"
2vNPGH1x5ZwxTjlvzLCyc2,Fate,(G)I-DLE,2,161546,6,8791578,79,77,29/1/2024,2/4/2024,73,['k-pop girl group']
5XVEx1pTUR4T7ABtXoGGxx,응급실,Izi,izi 1집,226548,12,3307,46,35,19/4/2005,2/4/2024,51,['classic k-pop']
6TJ6kw1jj1quL6pD8ghuTe,Remember Me,Hwagok-dong green frog,Remember Me,216364,1,73,35,23,16/1/2024,2/4/2024,41,"['k-pop', 'korean pop']"
5IFuZw0mqTVZn1xWzfYqbb,old song,Standing Egg,SHINE,272762,10,184126,37,44,4/10/2013,2/4/2024,43,"['k-indie', 'korean pop']"
4mqfe9XrgEOSsofvq5MyjR,Heavenly fate,LEE CHANGSUB,Heavenly fate (Original Soundtrack from the Webtoon A Not So Fairy Tale),271173,1,51899,42,36,21/2/2024,2/4/2024,48,"['korean pop', 'korean talent show']"
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,SUPER REAL ME,160688,2,327765,82,70,25/3/2024,2/4/2024,85,"['k-pop', 'korean pop']"
6rdkCkjk6D12xRpdMXy0I2,New Jeans,NewJeans,NewJeans 'Super Shy',108986,1,7616297,81,80,7/7/2023,2/4/2024,80,"['k-pop', 'k-pop girl group']"
5IN9W6eUfk3014My9awagX,MOONLIGHT SUNRISE,TWICE,READY TO BE,180320,2,19843777,71,81,10/3/2023,2/4/2024,68,"['k-pop', 'k-pop girl group', 'pop']"
