song_id,name,artist_name,album,duration_ms,track_number,artist_follower,album_popularity,artist_popularity,release_date,genres,days_diff,popularity
7u6awM8yTcM17pBzyhMO4C,9と4分の3番線で君を待つ (Run Away) - Japanese Ver.,TOMORROW X TOGETHER,STILL DREAMING,210893,4,9732198,52,77,2021-01-19,"['k-pop', 'k-pop boy group']",1171.0,43
6gUaVBXsaFrrG5TrUX0cvd,ある日、頭からツノが生えた (CROWN) - Japanese Ver.,TOMORROW X TOGETHER,STILL DREAMING,231760,5,9732198,52,77,2021-01-19,"['k-pop', 'k-pop boy group']",1171.0,39
1hbRaMw7avaun6B6bwDqX5,Angel Or Devil - Japanese Ver.,TOMORROW X TOGETHER,STILL DREAMING,234426,6,9732198,52,77,2021-01-19,"['k-pop', 'k-pop boy group']",1171.0,35
6xBivAKgcdsCBFGaC3IzSr,Drama - Japanese Ver.,TOMORROW X TOGETHER,STILL DREAMING,211720,7,9732198,52,77,2021-01-19,"['k-pop', 'k-pop boy group']",1171.0,37
4HEo19dGKUa2L6uE8Uvqg5,永遠に光れ (Everlasting Shine),TOMORROW X TOGETHER,STILL DREAMING,193573,8,9732198,52,77,2021-01-19,"['k-pop', 'k-pop boy group']",1171.0,48
0GpMvHj96PmMETcg95WwMP,Can't You See Me? (世界が燃えてしまった夜、僕たちは...) - Japanese Ver.,TOMORROW X TOGETHER,STILL DREAMING,202240,9,9732198,52,77,2021-01-19,"['k-pop', 'k-pop boy group']",1171.0,37
7bzFnFnXU2isoH0F65Yid0,Outro : STILL,TOMORROW X TOGETHER,STILL DREAMING,73600,10,9732198,52,77,2021-01-19,"['k-pop', 'k-pop boy group']",1171.0,41
72rUKYfdSaMVhgUhajRvrX,New Rules,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,174106,1,9732198,66,77,2019-10-21,"['k-pop', 'k-pop boy group']",1627.0,56
569Xgt70tGY3GyqHfDDc7y,Roller Coaster,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,214346,3,9732198,66,77,2019-10-21,"['k-pop', 'k-pop boy group']",1627.0,51
0Uzy6FHTYob2CbWisMz4Ap,Poppin' Star,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,193426,4,9732198,66,77,2019-10-21,"['k-pop', 'k-pop boy group']",1627.0,52
5DcLYkS1rnSgRMfhXNvh0d,Magic Island,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,192920,6,9732198,66,77,2019-10-21,"['k-pop', 'k-pop boy group']",1627.0,53
2U28aK9o2gI7sBL4XRzFfL,20cm,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,217026,7,9732198,66,77,2019-10-21,"['k-pop', 'k-pop boy group']",1627.0,58
3sVCSgIArXIhiWHvbUmauZ,Angel Or Devil,TOMORROW X TOGETHER,The Dream Chapter: MAGIC,232480,8,9732198,66,77,2019-10-21,"['k-pop', 'k-pop boy group']",1627.0,53
1p0kTGMwMtSTcV7fAnkkQc,Back for More (with Anitta),TOMORROW X TOGETHER,Back for More (More Edition),131037,1,9732198,54,77,2023-09-18,"['k-pop', 'k-pop boy group']",199.0,53
4TtwFAgN5WEJKUuMUv1hcP,Back for More (with Anitta) (Performance Ver.),TOMORROW X TOGETHER,Back for More (More Edition),172438,2,9732198,54,77,2023-09-18,"['k-pop', 'k-pop boy group']",199.0,38
0CerW91SZ7XXHk6tdKE05a,Back for More (TXT Ver.),TOMORROW X TOGETHER,Back for More (More Edition),162834,3,9732198,54,77,2023-09-18,"['k-pop', 'k-pop boy group']",199.0,55
7KK7A6niqD66y0duJ6iupC,Back for More (with Anitta) (House Remix),TOMORROW X TOGETHER,Back for More (More Edition),139419,4,9732198,54,77,2023-09-18,"['k-pop', 'k-pop boy group']",199.0,34
0r7iXhmVugU0zHoteI7H96,Back for More (with Anitta) (Afrobeats Remix),TOMORROW X TOGETHER,Back for More (More Edition),138779,5,9732198,54,77,2023-09-18,"['k-pop', 'k-pop boy group']",199.0,36
6uTPA1xlcsk6dbchB2dhzl,Back for More (with Anitta),TOMORROW X TOGETHER,Back for More (with Anitta),131037,1,9732198,68,77,2023-09-15,"['k-pop', 'k-pop boy group']",202.0,74
5z8PXrhJszWg8ejJ5alWo3,Back for More (with Anitta) (Performance Ver.),TOMORROW X TOGETHER,Back for More (with Anitta),172438,2,9732198,68,77,2023-09-15,"['k-pop', 'k-pop boy group']",202.0,52
2FwNVwldrtc8454bYU5a9g,Do It Like That (Jax Jones Remix),TOMORROW X TOGETHER,Do It Like That (Jax Jones Remix),295955,1,9732198,35,77,2023-08-12,"['k-pop', 'k-pop boy group']",236.0,42
3a5wHq45xKCNbSwHDnlnjZ,Do It Like That (Alan Walker Remix),TOMORROW X TOGETHER,Do It Like That (Alan Walker Remix),139441,1,9732198,42,77,2023-08-04,"['k-pop', 'k-pop boy group']",244.0,48
5W1MGvhp0nDigx1vfYTaO8,Do It Like That (Pop R&B Remix),TOMORROW X TOGETHER,Do It Like That (Pop R&B Remix),154947,1,9732198,36,77,2023-07-28,"['k-pop', 'k-pop boy group']",251.0,42
1yoGvx9wWnrk7zFeKQ7yxH,Do It Like That (Jersey Club Remix),TOMORROW X TOGETHER,Do It Like That (Jersey Club Remix),145823,1,9732198,36,77,2023-07-19,"['k-pop', 'k-pop boy group']",260.0,43
7kaFsQygyiCqRboWCXztxZ,Do It Like That,TOMORROW X TOGETHER,Do It Like That,145065,1,9732198,60,77,2023-07-07,"['k-pop', 'k-pop boy group']",272.0,67
31PF8eu76bgCLNzNm0ZmBX,紫陽花のような恋 (Hydrangea Love),TOMORROW X TOGETHER,紫陽花のような恋 (Hydrangea Love),232736,1,9732198,45,77,2023-06-30,"['k-pop', 'k-pop boy group']",279.0,51
12Yy0hZrUebGnr3IrppPnW,Zero (J.I.D Remix),NewJeans,Zero (J.I.D Remix),224681,1,7616297,50,80,2023-06-20,"['k-pop', 'k-pop girl group']",289.0,56
5LMoKDVzW2kDneNu2UbspP,Zero,NewJeans,Zero,154194,1,7616297,61,80,2023-04-03,"['k-pop', 'k-pop girl group']",367.0,67
5702raF31K9rvD6KZ6sCTo,Ditto,NewJeans,NewJeans 'OMG',185506,2,7616297,76,80,2023-01-02,"['k-pop', 'k-pop girl group']",458.0,63
2DwUdMJ5uxv20EhAildreg,Cookie,NewJeans,NewJeans 1st EP 'New Jeans',235562,3,7616297,81,80,2022-08-01,"['k-pop', 'k-pop girl group']",612.0,74
3o0Nlc7DVVC39pfv4nTi9Y,ドレスコード (Prod. imase),LE SSERAFIM,ドレスコード (Prod. imase),216347,1,4804304,48,82,2023-11-19,['k-pop girl group'],137.0,54
2pCcl9FB4KCqYXYzloAMRK,Perfect Night (Sped Up ver.),LE SSERAFIM,Perfect Night (Remix),128779,1,4804304,54,82,2023-10-30,['k-pop girl group'],157.0,57
5sVWwPuoQlZpvAFcF0MMjf,Perfect Night (Slowed + Reverb ver.),LE SSERAFIM,Perfect Night (Remix),175893,2,4804304,54,82,2023-10-30,['k-pop girl group'],157.0,50
31cPtAsM5gjCeQYhlwbIBD,UNFORGIVEN - Japanese ver.,LE SSERAFIM,UNFORGIVEN,182933,1,4804304,48,82,2023-08-22,['k-pop girl group'],226.0,45
0MvgLL3Rkj9JjEvpUqAy0m,ANTIFRAGILE - Japanese ver.,LE SSERAFIM,UNFORGIVEN,185293,2,4804304,48,82,2023-08-22,['k-pop girl group'],226.0,49
27Ktms54Maeges2VYdsnec,ジュエリー (Prod. imase),LE SSERAFIM,UNFORGIVEN,163813,3,4804304,48,82,2023-08-22,['k-pop girl group'],226.0,42
07Kq5cRJkYNieu1rge3PZX,UNFORGIVEN - Japanese ver.,LE SSERAFIM,UNFORGIVEN (Japanese ver.),182933,1,4804304,52,82,2023-08-08,['k-pop girl group'],240.0,58
5zYrD1r49ex3WJk6iVIhfw,"Eve, Psyche & the Bluebeard’s wife (feat. Demi Lovato)",LE SSERAFIM,"Eve, Psyche & the Bluebeard’s wife (feat. Demi Lovato)",185538,1,4804304,47,82,2023-08-04,['k-pop girl group'],244.0,53
7y2WZKii5EQkpGUef37XkR,"Eve, Psyche & the Bluebeard’s wife (Rina Sawayama Remix)",LE SSERAFIM,"Eve, Psyche & the Bluebeard’s wife (Rina Sawayama Remix)",174173,1,4804304,44,82,2023-07-28,['k-pop girl group'],251.0,51
1PeBPKbOCc370rnLKploBL,ジュエリー (Prod. imase),LE SSERAFIM,ジュエリー (Prod. imase),163813,1,4804304,56,82,2023-07-25,['k-pop girl group'],254.0,63
2KsiPmkW27MalI0SqC64eI,"Eve, Psyche & the Bluebeard’s wife (feat. UPSAHL)",LE SSERAFIM,"Eve, Psyche & the Bluebeard’s wife (feat. UPSAHL)",186119,1,4804304,42,82,2023-07-14,['k-pop girl group'],265.0,48
1xaLyNaaZC3i5tmaDAWP76,"Eve, Psyche & the Bluebeard’s wife (English Ver.)",LE SSERAFIM,"Eve, Psyche & the Bluebeard’s wife (English Ver.)",186119,1,4804304,49,82,2023-07-06,['k-pop girl group'],273.0,55
0BJMgVrnWIvgYsjq8KaPeh,SCIENTIST,TWICE,Formula of Love: O+T=<3,194600,1,19843777,74,81,2021-11-12,"['k-pop', 'k-pop girl group', 'pop']",874.0,64
14k4ALBLN2FjtELYDcQUoi,MOONLIGHT,TWICE,Formula of Love: O+T=<3,219386,2,19843777,74,81,2021-11-12,"['k-pop', 'k-pop girl group', 'pop']",874.0,60
2VdU1ksBKcETBr8BYRHUvB,ICON,TWICE,Formula of Love: O+T=<3,176160,3,19843777,74,81,2021-11-12,"['k-pop', 'k-pop girl group', 'pop']",874.0,58
139JUU8fJkQoeHl9nABk9C,CRUEL,TWICE,Formula of Love: O+T=<3,211426,4,19843777,74,81,2021-11-12,"['k-pop', 'k-pop girl group', 'pop']",874.0,54
3ax3sc1Rn99YbjyKT0HALS,REAL YOU,TWICE,Formula of Love: O+T=<3,187933,5,19843777,74,81,2021-11-12,"['k-pop', 'k-pop girl group', 'pop']",874.0,51
4O1WbQwMV0W6Y2dUCvwoBx,F.I.L.A (Fall In Love Again),TWICE,Formula of Love: O+T=<3,191253,6,19843777,74,81,2021-11-12,"['k-pop', 'k-pop girl group', 'pop']",874.0,54
39kH6C2twlYjyssIW02sbr,LAST WALTZ,TWICE,Formula of Love: O+T=<3,170560,7,19843777,74,81,2021-11-12,"['k-pop', 'k-pop girl group', 'pop']",874.0,56
61iEzLnJzBnMwumWtn0nFp,ESPRESSO,TWICE,Formula of Love: O+T=<3,187800,8,19843777,74,81,2021-11-12,"['k-pop', 'k-pop girl group', 'pop']",874.0,53
4BBnKqIS2pj2hX0zm0CZZx,REWIND,TWICE,Formula of Love: O+T=<3,180613,9,19843777,74,81,2021-11-12,"['k-pop', 'k-pop girl group', 'pop']",874.0,61
